game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
201310290LAL,2014,LAL,LAC,0,4,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,8,2,4,7,4,1,0,3,0,0,4,3,1,3,8,0.5,0.5714285714285714,0.0,9,2,6,6,4,3,2,3,0,0,5,3,2,1,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1
201310290LAL,2014,LAL,LAC,5,7,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,6,0,1,4,0,2,1,1,0,0,6,4,2,1,3,0.16666666666666666,0.0,0.5,5,2,2,5,2,0,0,2,0,0,4,3,1,0,4,0.4,0.4,0.0,-1
201310290LAL,2014,LAL,LAC,8,10,Chris Kaman,Jodie Meeks,Jordan Farmar,Pau Gasol,Xavier Henry,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,7,3,4,6,3,1,1,2,0,0,2,1,1,0,9,0.5714285714285714,0.5,1.0,7,1,5,6,4,1,1,3,0,0,4,3,1,1,11,0.7142857142857143,0.6666666666666666,1.0,-1
201310290LAL,2014,LAL,LAC,11,12,Chris Kaman,Jodie Meeks,Jordan Farmar,Wesley Johnson,Xavier Henry,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Matt Barnes,9,0,3,9,3,0,0,0,1,0,7,1,6,2,6,0.3333333333333333,0.3333333333333333,0.0,2,0,1,1,1,1,0,0,0,0,0,0,0,3,2,0.5,1.0,0.0,1
201310290LAL,2014,LAL,LAC,13,13,Jodie Meeks,Jordan Farmar,Jordan Hill,Wesley Johnson,Xavier Henry,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Ryan Hollins,2,0,1,1,1,1,0,1,0,0,2,2,0,0,2,0.5,1.0,0.0,3,2,1,2,1,1,0,1,0,0,2,1,1,0,2,0.3333333333333333,0.5,0.0,-1
201310290LAL,2014,LAL,LAC,14,14,Jodie Meeks,Jordan Farmar,Jordan Hill,Wesley Johnson,Xavier Henry,Blake Griffin,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,2,3,1,2,1,0,0,0,0,0,1,0,1,0,2,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
201310290LAL,2014,LAL,LAC,15,16,Jodie Meeks,Jordan Farmar,Jordan Hill,Shawne Williams,Xavier Henry,Blake Griffin,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,1,0,1,0,0,1,1,1,0,0,0,0,0,2,3,1.0,0.0,1.0,3,0,3,3,3,0,0,3,0,0,1,1,0,1,6,1.0,1.0,0.0,-1
201310290LAL,2014,LAL,LAC,17,17,Jodie Meeks,Jordan Farmar,Jordan Hill,Shawne Williams,Xavier Henry,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,2,0,0,2,0,0,0,0,1,0,2,1,1,1,0,0.0,0.0,0.0,2,0,1,1,0,1,1,1,0,0,1,1,0,0,3,0.5,0.0,1.0,-1
201310290LAL,2014,LAL,LAC,18,18,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,4,0,1,4,1,0,0,1,0,0,4,2,2,1,2,0.25,0.25,0.0,3,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,1
201310290LAL,2014,LAL,LAC,19,20,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,3,2,2,0,0,3,2,0,0,0,2,2,0,0,6,0.6666666666666666,0.0,0.6666666666666666,3,0,2,2,2,1,0,0,0,0,1,1,0,1,4,0.6666666666666666,1.0,0.0,1
201310290LAL,2014,LAL,LAC,21,23,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,6,2,3,6,3,0,0,2,0,0,2,1,1,0,6,0.5,0.5,0.0,4,3,3,3,3,1,0,3,0,0,3,3,0,1,6,0.75,1.0,0.0,-1
201310290LAL,2014,LAL,LAC,24,24,Chris Kaman,Jordan Farmar,Nick Young,Pau Gasol,Steve Blake,Blake Griffin,Chris Paul,Darren Collison,J.J. Redick,Jamal Crawford,2,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,2,0,1,2,1,0,0,1,1,0,2,2,0,0,2,0.5,0.5,0.0,-1
201310290LAL,2014,LAL,LAC,25,26,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,2,3,0,1,0,1,0,0,0,0,2,1,1,1,0,0.0,0.0,0.0,5,0,2,3,2,2,0,2,0,0,3,1,2,1,4,0.4,0.6666666666666666,0.0,-1
201310290LAL,2014,LAL,LAC,27,29,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,4,2,2,1,0,3,2,2,0,0,5,5,0,1,6,0.5,0.0,0.6666666666666666,6,0,1,5,1,1,0,1,1,0,2,2,0,0,2,0.16666666666666666,0.2,0.0,1
201310290LAL,2014,LAL,LAC,30,30,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,1,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0.0,0.0,0.0,2,0,1,2,1,0,0,1,0,0,1,1,0,1,2,0.5,0.5,0.0,-1
201310290LAL,2014,LAL,LAC,31,31,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,2,1,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,3,1.0,0.0,1.0,1
201310290LAL,2014,LAL,LAC,32,32,Chris Kaman,Jodie Meeks,Jordan Farmar,Nick Young,Pau Gasol,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,3,0,0,0,0,3,0,0,0,0,3,1,2,1,0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,-1
201310290LAL,2014,LAL,LAC,33,34,Chris Kaman,Jodie Meeks,Jordan Farmar,Wesley Johnson,Xavier Henry,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,4,0,1,2,0,2,1,1,0,0,2,2,0,0,3,0.25,0.0,0.5,6,2,1,4,1,2,0,0,1,0,6,3,3,0,2,0.16666666666666666,0.25,0.0,1
